Local Authority GIAS ID,Local Authority Name,Address Line 1,Address Line 2,Address Line 3,Town/City,Postcode,Local Authority ENG
802,North Somerset,Town Hall,Walliscote Grove Road,,Weston-super-Mare,BS23 1UJ,NSM
803,South Gloucestershire,"PO Box 298,Civic Centre",Dept for Children Adults & Health,High street,Bristol,BS15 0DQ,SGC
805,Hartlepool,Level 4 Civic Centre,Victoria Road,,Hartlepool,TS24 8AY,HPL
806,Middlesbrough,"PO Box 69, Vancouver House",Gurney Street,,Middlesbrough,TS1 1EL,MDB
807,Redcar and Cleveland,Civic Offices PO Box 83,Kirkleatham Street,,Redcar,TS10 1YA,RCC
808,Stockton-on-Tees,Municipal Buildings,Church Road,,Stockton-on-Tees,TS18 1LD,STT
810,Kingston upon Hull City,Room 42,Guildhall,,Hull,HU1 2AA,KHL
811,East Riding of Yorks,County Hall,,,Beverley,HU17 9BA,ERY
812,North East Lincolnshire,Municipal Offices,,,Grimsby,DN31 1HU,NEL
813,North Lincolnshire,"PO Box 35, Hewson House",Station Road,,Brigg,DN20 8XJ,NLN
815,North Yorkshire,County Hall,,,Northallerton,DL7 8AE,NYK
816,York,West Offices,Station Rise,,York,YO1 6GA,YOR
821,Luton,111 Stuart Street,,,Luton,LU1 5NP,LUT
822,Bedford,Borough Hall,Cauldwell Street,,Bedford,MK42 9AP,BDF
823,Central Bedfordshire,Priory House,Monks Walk,,Shefford,SG17 5TQ,CBF
825,Buckinghamshire,The Gateway,Gatehouse Road,,Aylesbury,HP19 8FF,BUC
826,Milton Keynes,Saxon Court,Avebury Boulevard,,Central Milton Keynes,MK9 3HS,MIK
830,Derbyshire,County Hall,,,Matlock,DE4 3AG,DBY
831,Derby,Children & Young People Directorate,The Council House,Corporation Street,Derby,DE1 2FS,DER
838,Dorset,County Hall,,,Dorchester,DT1 1XJ,DST
839,Bournemouth Chrstchch & Poole,Town Hall,,,Bournemouth,BH2 6DY,BPC
840,County Durham,County Hall,,,Durham,DH1 5UJ,DUR
841,Darlington,Town Hall,Feethams,,Darlington,DL1 5QT,DAL
845,East Sussex,"PO Box 4, County Hall",St Anne’s Crescent,,Lewes,BN7 1SG,ESX
846,Brighton and Hove,Kings House,Grand Avenue,,Hove,BN3 2SU,BNH
850,Hampshire,Children’s Services Department,3rd Floor,"Elizabeth II Court North, The Castl",Winchester,SO23 8UG,HAM
851,Portsmouth,"3rd Floor, Civic Offices",Guildhall Square,,Portsmouth,PO1 2AL,POR
852,Southampton,Civic Centre,,,Southampton,SO14 7LY,STH
855,Leicestershire,County Hall,Glenfield,,Leicester,LE3 8RF,LEC
856,Leicester,"3rd Floor, 115 Charles Street",,,Leicester,LE1 1FZ,LCE
857,Rutland,Catmose,Oakham,,Rutland,LE15 6HP,RUT
860,Staffordshire,Staffordshire Place,Tipping Street,,Stafford,ST16 2DH,STS
861,Stoke-on-Trent,Civic Centre,Glebe Street,,Stoke-On-Trent,ST4 1HH,STE
865,Wiltshire,County Hall,Bythesea Road,,Trowbridge,BA14 8JN,WIL
866,Swindon,Swindon Borough Council,"Civic Offices, Euclid Street",,Swindon,SN1 2JH,SWD
867,Bracknell Forest,Time Square,Market Street,,Bracknell,RG12 1JD,BRC
868,Windsor and Maidenhead,Town Hall,St Ives Rd,,Maidenhead,SL6 1RF,WNM
869,West Berkshire,West Street House,West Street,,Newbury,RG14 1BZ,WBK
870,Reading,"Brighter Futures for Children,",Civic Offices,Bridge Street,Reading,RG1 2LU,RDG
871,Slough,Town Hall,Bath Rd,,Slough,SL1 3UQ,SLG
872,Wokingham,Shute End,,,Wokingham,RG40 1BN,WOK
873,Cambridgeshire,Shire Hall,Castle Hill,,Cambridge,CB3 OAP,CAM
874,Peterborough,Town Hall,Bridge Street,,Peterborough,PE1 1HF,PTE
876,Halton,Municipal Building,Kingsway,,Widnes,WA8 7QF,HAL
877,Warrington,New Town House,Buttermarket Street,,Warrington,WA1 2NH,WRT
878,Devon,County Hall,Topsham Road,,Exeter,EX2 4QG,DEV
879,Plymouth,Ballard House,West Hoe Road,,Plymouth,PL1 3BJ,PLY
880,Torbay,"C/o Townhall, Children’s Services",(Torhill House 1st Floor South),Castle Circus,Torquay,TQ1 3DR,TOB
881,Essex,Children’s Services,Corporate Directorate,PO Box 11,Chelmsford,CM1 1LX,ESS
882,Southend-on-Sea,Civic Centre,Victoria Avenue,,Southend on Sea,SS2 6ER,SOS
883,Thurrock,Civic Offices,New Road Grays,,Thurrock,RM17 6GF,THR
884,Herefordshire County of,Plough Lane,,,Hereford,HR4 0LE,HEF
885,Worcestershire,County Hall,Spetchley Road,,Worcester,WR5 2NP,WOR
886,Kent,Sessions House,,,Maidstone,ME14 1XQ,KEN
887,Medway,Gun Wharf,Dock Road,,Chatham,ME4 4TR,MDW
888,Lancashire,PO Box 100,County Hall,,Preston,PR1 0LD,LAN
889,Blackburn with Darwen,10 Duke Street,,,Blackburn,BB2 1DH,BBD
890,Blackpool,"Number One, Bickerstaffe Square",,,Blackpool,FY1 3HS,BPL
891,Nottinghamshire,County Hall,West Bridgford,,Nottingham,NG2 7QP,NTT
892,Nottingham,Loxley House,Station Street,,Nottingham,NG2 3NG,NGM
893,Shropshire,Shire Hall,Abbey Foregate,,Shrewsbury,SY2 6ND,SHR
894,Telford and Wrekin,Addenbrooke House,Ironmasters Way,,Telford,TF3 4NT,TFW
895,Cheshire East,Westfields,Middlewich Road,,Sandbach,CW11 1HZ,CHE
896,Cheshire West & Chester,58 Nicholas Street,,,Chester,CH1 2NP,CHW
908,Cornwall,New County Hall,,,Truro,TR1 3AY,CON
909,Cumbria,Cumbria House,117 Botchergate,,Carlisle,CA1 1RD,CMA
916,Gloucestershire,Shire Hall,Westgate Street,,Gloucester,GL1 2TR,GLS
919,Hertfordshire,County Hall,Peg Lane,,Hertford,SG13 8DF,HRT
921,Isle of Wight,County Hall,,,Newport,PO30 1UD,IOW
925,Lincolnshire,County Offices,Newland,,Lincoln,LN1 1YQ,LIN
926,Norfolk,County Hall,Martineau Lane,,Norwich,NR1 2DH,NFK
928,Northamptonshire,1 Angel Square,Angel Street,,Northampton,NN1 1ED,NTH
929,Northumberland,County Hall,,,Morpeth,NE61 2EF,NBL
931,Oxfordshire,County Hall,New Road,,Oxford,OX1 1ND,OXF
933,Somerset,The Crescent,,,Taunton,TA1 4DY,SOM
935,Suffolk,Endeavour House,8 Russell Road,,Ipswich,IP1 2BX,SFK
936,Surrey,County Hall,,,Kingston upon Thames,KT1 2DN,SRY
937,Warwickshire,"PO BOX 2, Shire Hall",,,Warwick,CV34 4RR,WAR
938,West Sussex,County Hall,,,Chichester,PO19 1RQ,WSX
